JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
DAMBOVITA," 5,219     "," 2,594     "," 2,625     "," 1,229     "," 3,990     ", 3.06     , 3.72     , 2.61     ,
DOLJ," 18,472     "," 8,349     "," 10,123     "," 1,769     "," 16,703     ", 8.00     , 8.22     , 7.84     ,
GALATI," 9,302     "," 3,901     "," 5,401     "," 1,025     "," 8,277     ", 5.53     , 5.15     , 5.84     ,
GIURGIU," 1,962     "," 1,000     ", 962     , 365     ," 1,597     ", 2.95     , 3.44     , 2.57     ,
GORJ," 4,159     "," 2,134     "," 2,025     "," 1,147     "," 3,012     ", 3.40     , 3.85     , 3.03     ,
HARGHITA," 5,534     "," 2,644     "," 2,890     "," 1,051     "," 4,483     ", 4.49     , 5.08     , 4.06     ,
HUNEDOARA," 7,580     "," 4,192     "," 3,388     "," 2,225     "," 5,355     ", 4.87     , 5.76     , 4.08     ,
IALOMITA," 4,164     "," 1,977     "," 2,187     ", 653     ," 3,511     ", 5.24     , 5.57     , 4.97     ,
IASI," 9,902     "," 4,286     "," 5,616     ", 977     ," 8,925     ", 3.59     , 3.41     , 3.74     ,
ILFOV, 981     , 598     , 383     , 397     , 584     , 0.46     , 0.69     , 0.30     ,
MARAMURES," 4,298     "," 2,135     "," 2,163     "," 1,181     "," 3,117     ", 2.40     , 2.70     , 2.17     ,
MEHEDINTI," 6,662     "," 2,885     "," 3,777     ", 865     ," 5,797     ", 7.81     , 7.51     , 8.05     ,
MUN. BUC.," 10,259     "," 5,997     "," 4,262     "," 1,735     "," 8,524     ", 0.81     , 0.94     , 0.68     ,
MURES," 7,155     "," 3,180     "," 3,975     "," 1,106     "," 6,049     ", 3.35     , 3.54     , 3.22     ,
NEAMT," 8,371     "," 3,592     "," 4,779     "," 1,358     "," 7,013     ", 5.40     , 5.20     , 5.57     ,
OLT," 7,300     "," 3,239     "," 4,061     "," 1,098     "," 6,202     ", 5.46     , 5.57     , 5.37     ,
PRAHOVA," 6,597     "," 3,396     "," 3,201     "," 2,274     "," 4,323     ", 2.41     , 3.01     , 2.00     ,
SALAJ," 5,072     "," 2,207     "," 2,865     ", 867     ," 4,205     ", 5.47     , 5.56     , 5.41     ,
SATU MARE," 5,835     "," 2,729     "," 3,106     ", 711     ," 5,124     ", 4.46     , 4.59     , 4.35     ,
SIBIU," 4,918     "," 2,360     "," 2,558     ", 907     ," 4,011     ", 2.57     , 2.75     , 2.42     ,
SUCEAVA," 11,677     "," 4,986     "," 6,691     "," 2,712     "," 8,965     ", 5.95     , 5.80     , 6.06     ,
TELEORMAN," 9,852     "," 4,030     "," 5,822     "," 1,139     "," 8,713     ", 8.91     , 7.98     , 9.69     ,
TIMIS," 2,865     "," 1,522     "," 1,343     "," 1,456     "," 1,409     ", 0.85     , 1.03     , 0.71     ,
TULCEA," 2,483     "," 1,213     "," 1,270     ", 619     ," 1,864     ", 3.37     , 3.56     , 3.21     ,
VALCEA," 3,010     "," 1,626     "," 1,384     "," 1,858     "," 1,152     ", 2.10     , 2.60     , 1.72     ,
VASLUI," 9,399     "," 3,920     "," 5,479     ", 953     ," 8,446     ", 8.66     , 7.70     , 9.51     ,
VRANCEA," 2,565     "," 1,252     "," 1,313     ", 577     ," 1,988     ", 2.21     , 2.37     , 2.08     ,
Total ," 248,909     "," 116,442     "," 132,467     "," 49,751     "," 199,158     ", 3.09     , 3.21     , 2.99     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
