JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
SUCEAVA," 12,657     "," 5,522     "," 7,135     "," 2,791     "," 9,866     ", 6.46     , 6.28     , 6.61     ,
TELEORMAN," 9,467     "," 3,893     "," 5,574     "," 1,205     "," 8,262     ", 8.81     , 7.80     , 9.68     ,
TIMIS," 3,535     "," 1,946     "," 1,589     "," 1,856     "," 1,679     ", 1.06     , 1.34     , 0.84     ,
TULCEA," 2,610     "," 1,282     "," 1,328     ", 608     ," 2,002     ", 3.60     , 3.84     , 3.40     ,
VALCEA," 3,483     "," 1,797     "," 1,686     "," 1,708     "," 1,775     ", 2.47     , 2.85     , 2.17     ,
VASLUI," 9,899     "," 4,188     "," 5,711     "," 1,204     "," 8,695     ", 9.23     , 8.20     , 10.16     ,
VRANCEA," 2,410     "," 1,188     "," 1,222     ", 651     ," 1,759     ", 2.15     , 2.32     , 2.01     ,
Total ," 255,344     "," 120,297     "," 135,047     "," 53,482     "," 201,862     ", 3.20     , 3.32     , 3.10     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
